"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"ACCT.FDATE.OVRD.FYEAR","","","","D","N","3","Date Warning to Override Year Warning","N","N","","","","","","","","","","","26","","3L","1","Flag for Future Date Warning to Override Future Year, Warning.","","GLSTRUCT","N","","1992-08-21","CT7","","","2020-05-27T14:54:46.559Z"
"ACCT.FUNC.POS","","","","D","N","5","","4","N","","","","","","","","","","","11","","5R","0","General Ledger Account Structure:, Major component: FUNCTION relative Key position","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:46.918Z"
"ACCT.FUND.POS","","","","D","N","5","","1","N","","","","","","","","","","","8","","5R","0","General Ledger Account Structure:, FUND component relative position in Key","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:46.777Z"
"ACCT.FUTURE.PERIODS","","","","D","N","2","Number of Months in Future Date Warning","3","N","","","","","","","","","","","25","","2R","3","To Enter Number of Periods For Future Warning","","GLSTRUCT","N","","1992-08-21","CT7","","","2020-05-27T14:54:46.168Z"
"ACCT.INPUT.DELIMITERS","","","","D","N","1","",".","N","","","","","","","","","","","14","","1L","0","General Ledger Account Structure:, User private entry delimiter for major components","","GLSTRUCT","N","","1988-07-13","RGH","","","2020-05-27T14:54:47.090Z"
"ACCT.LENGTH","","","N","A","N","2","Length","5","N","","N","0","N","N","","GLMAJOR","D","","","7","MD0","2R","0","General Ledger Account Structure:, Major component length","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:45.777Z"
"ACCT.LOCATION.POS","","","","D","N","5","","5","N","","","","","","","","","","","15","","5R","0","General Ledger Account Structure:, Major component: CAMPUS relative Key position","","GLSTRUCT","N","","1989-03-28","RGH","","","2020-05-27T14:54:46.605Z"
"ACCT.MANAGER.CORP.INDICATOR","","","","D","","3","Corp Indicator","","","","","","","","","","","","","66","","3L","1","Contains Y if corporation","Corp, Indicator","ACCT.MANAGER","","","1994-03-27","STEVEN","","","2020-05-27T14:54:48.121Z"
"ACCT.MANAGER.ID","","","","K","","7","Acct Manager ID","","N","","","","","","","","","","","0","","7L","10","Key to logical record for Account Manager in SHARE file","Acct Manager ID","ACCT.MANAGER","","","1993-09-08","STEVEN","","","2020-05-27T14:54:47.449Z"
"ACCT.MANAGER.LAST","","","","D","","25","Last","","","","","","","","","","","","","1","","25L","25","Last name of logical person ACCT.MANAGER","Last","ACCT.MANAGER","","","1993-09-08","STEVEN","","","2020-05-27T14:54:46.246Z"
"ACCT.MANAGER.MAIL.LABEL","","","","L","","57","Mail Name","Mr. Gregory H. Smith","","","","","","","","","","","","18","","57L","57","This person's name fit into 30 chrs suitable, for mail labels.  *** Maximum 2 lines ***","","ACCT.MANAGER","","","1994-03-27","STEVEN","","","2020-05-27T14:54:48.152Z"
"ACCT.MANAGER.PREF.NAME","","","","D","","60","Pref Name","Mr. Gregory H. Smith","","","","","","","","","","","","15","","60L","60","Preferred or full name of this person","","ACCT.MANAGER","","","1994-03-27","STEVEN","","","2020-05-27T14:54:47.809Z"
"ACCT.MASK","","","","D","N","20","","L## #### #####","N","","","","","","","","","","","12","","20L","30","General Ledger Account Structure:, Account Number format Mask (Inform)","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:47.809Z"
"ACCT.NAMES","","","","A","N","15","External Name","FUND","N","","","","","","","GLMAJOR","K","","","5","","15L","15","General Ledger Account Structure:, Component Name","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:46.543Z"
"ACCT.NEW.GL.LKUP.FLAG","","","","D","N","3","Use Graphical Account Number LookUp","Y","N","","","","","","","","","","","31","","3L","1","If this field has a 'Y'es, the GL.ACCTS lookup will, use the standard resolution. If it is 'N'o, it will, continue to use the old code that paints the  , resolution on screen. If it is blank, it will      , be interpreted as a 'Y'es.     , This flag was implemented to allow customers to    , revert back to the old lookup in case the new      , option created unforeseen problems.","","GLSTRUCT","Y","","2002-01-03","TGL","","","2020-05-27T14:54:46.152Z"
"ACCT.OBJ.POS","","","","D","N","5","","3","N","","","","","","","","","","","10","","5R","0","General Ledger Account Structure:, Major component: OBJECT relative Key position","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:47.309Z"
"ACCT.OVERRIDE.TOKENS","","","","L","N","5","","FAV","N","","","","","","","","","","","22","","5L","5","List of tokens for override security used for GL actions:, Position and defaults are:,   1) FAV for funds availibility override authority,   2) DNC for debit not equal to credits override authority,   3) FBAL for funds out of balance override authority,   4) PCP for posting to prior periods","","GLSTRUCT","N","","1989-03-10","RGH","","","2020-05-27T14:54:45.949Z"
"ACCT.SECURE.CLOSED.PERIOD","","","","D","N","3","Require Override for Closed Months","Y","N","","","","","","","","","","","23","","3L","1","Normally, a warning message is given when an attempt to, post to a prior period is made.  A 'Y' in this field will, force a password override before accepting a transaction, date which would post to a prior, closed period","","GLSTRUCT","N","","1989-11-13","SKIP","","","2020-05-27T14:54:46.777Z"
"ACCT.SIZE","","","","L","N","5","","13","N","","","","","","","","","","","1","","5R","2","General Ledger Account size and Major Component Count., MV1 is the lenght of the complete GL account number, and MV2 is the total number of major components in the, GL account number.  This curious structure is required, by older COLLEAGUE programs.","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:45.855Z"
"ACCT.SOURCE.POS","","","","D","N","5","","6","N","","","","","","","","","","","16","","5R","0","General Ledger Account Structure:, Major component: COLLEGE relative Key position","","GLSTRUCT","N","","1989-03-28","RGH","","","2020-05-27T14:54:47.965Z"
"ACCT.START","","","","A","N","5","","1","N","","","","","","","GLMAJOR","D","","","6","","5R","0","General Ledger Account Structure:, Major Component starting position","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:46.434Z"
"ACCT.STRUCTURE.INTG.ID","","","","K","N","15","","","N","","","","","","","","","","","0","","15L","15","The GL account structure subcomponent name.","ACCT.STRUCTURE.INTG.ID","ACCT.STRUCTURE.INTG","N","","2018-04-23","ASAINJU","","","2020-05-27T14:54:47.918Z"
"ACCT.SUB.LGTH","","","","L","N","5","","2","N","","","","","","","","","","","3","","5R","0","General Ledger Account Structure:, Substring Length","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:47.105Z"
"ACCT.SUB.NAME","","","","L","N","15","","OOBJECT.CLASS","N","","","","","","","","","","","4","","15L","0","General Ledger Account Structure:, SubString component Name","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:48.230Z"
"ACCT.SUB.NAME.HOLD","","","","L","","15","","FUND.GROUP","N","","","","","","","","","","","4","","15L","15","","","GLSTRUCT.HOLD","","","2003-10-20","TGL","","","2020-05-27T14:54:47.246Z"
"ACCT.SUB.START","","","","L","N","5","","1","N","","","","","","","","","","","2","","5R","0","General Ledger Account Structure:, SubString Start Location","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:45.449Z"
"ACCT.SUPER.CORP.INDICATOR","","","","D","","3","Corp Indicator","","","","","","","","","","","","","66","","3L","1","Contains Y if corporation","Corp, Indicator","ACCT.SUPER","","","1994-03-27","STEVEN","","","2020-05-27T14:54:47.934Z"
"ACCT.SUPER.ID","","","","K","","7","Acct Super ID","","","","","","","","","","","","","0","","7L","7","Key to logical record Account Supervisor in SHARE file","Acct Super ID","ACCT.SUPER","","","1993-09-08","STEVEN","","","2020-05-27T14:54:45.574Z"
"ACCT.SUPER.LAST","","","","D","","25","Last","","","","","","","","","","","","","1","","25L","25","Last name of logical person ACCT.SUPER","Last","ACCT.SUPER","","","1993-09-08","STEVEN","","","2020-05-27T14:54:46.996Z"
"ACCT.SUPER.MAIL.LABEL","","","","L","","57","Mail Name","Mr. Gregory H. Smith","","","","","","","","","","","","18","","57L","57","This person's name fit into 30 chrs suitable, for mail labels.  *** Maximum 2 lines ***","","ACCT.SUPER","","","1994-03-27","STEVEN","","","2020-05-27T14:54:45.715Z"
"ACCT.SUPER.PREF.NAME","","","","D","","60","Pref Name","Mr. Gregory H. Smith","","","","","","","","","","","","15","","60L","60","Preferred or full name of this person","","ACCT.SUPER","","","1994-03-27","STEVEN","","","2020-05-27T14:54:47.574Z"
"ACCT.UNIT.POS","","","","D","N","5","","2","N","","","","","","","","","","","9","","5R","0","General Ledger Account Structure:, Major component: UNIT relative Key position","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:47.012Z"
"ACTIVITY.SEQ","","","N","D","","9","","1","","","N","0","N","N","","","","","","7","MD0","9R","9","Activity Counter for this Account Number this FYR","","GLS.FYR","","","1988-05-27","SKIP","","","2020-05-27T14:54:47.559Z"
"ACTUAL.AMT","real xResult1; , xResult1 = ((vlMdebits).Sum() - (vlMcredits).Sum());, return (money)xResult1;","","N","I","","10","","","","","Y","2","N","N","2","","","","","0","MD2,-","10R","0","To give the sum of the actual amount","","GLS.FYR","","","1991-12-10","KIM","","","2020-05-27T14:54:46.262Z"
"ADJ.BUDGET.AMT","real xResult1; , xResult1 = (((vlBOrigApprovedDistAmt).Sum() + (vlBApprMdebits).Sum()) - (vlBApprMcredits).Sum());, return (money)xResult1;","","N","I","","8","","","","","Y","2","N","N","2","","","","","0","MD2,-","8R","0","To give the adjusted budget dollar amount for MV fields","","GLS.FYR","","","1991-12-04","KIM","","","2020-05-27T14:54:46.527Z"
"AITM.ACCEPT.HIST.CHG.REASON","","","","L","","25","Change Reason","","","","","","","","","","","","","105","","25L","0","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order so most recent, is always first., , Not required the first time an accepted quantity is, entered.  Once record is saved, if the accepted quantity, is changed, will be required.  This is logging accepted, quantity changes for auditing purposes; the accepted, quantity, change reason, operator and date will be written, to the ACCEPT.HISTORY association to keep track of the, accepted quantity changes.","","ACCEPTED.ITEMS","","$VR.ACCEPT.CHANGE.CODES","1993-09-10","SMG","","","2020-05-27T14:54:46.840Z"
"AITM.ACCEPT.HIST.DATE","","","D","L","","8","Date","","","","N","2","/","","","","","","","104","D2/","8R","0","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order.","","ACCEPTED.ITEMS","","","1993-09-10","SMG","","","2020-05-27T14:54:46.918Z"
"AITM.ACCEPT.HIST.INITIATOR","","","","L","","20","Change Initiator","","","","","","","","","","","","","106","","20L","0","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order.","","ACCEPTED.ITEMS","","","1993-09-21","SMG","","","2020-05-27T14:54:48.137Z"
"AITM.ACCEPT.HIST.OPERATOR","","","","L","","20","Entered By","","","","","","","","","","","","","103","","20L","0","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order.","","ACCEPTED.ITEMS","","","1993-09-10","SMG","","","2020-05-27T14:54:46.246Z"
"AITM.ACCEPT.HIST.QTY","","","N","L","","11","Quantity Accepted","","","","Y","3","N","N","","","","","","102","MD3,","11R","0","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order.","","ACCEPTED.ITEMS","","","1993-09-10","SMG","","","2020-05-27T14:54:47.465Z"
"AITM.ACCEPT.LAST.CHG.REASON","","","","D","","25","Change Reason","","","","","","","","","","","","","118","","25L","0","This field tracks the last reason that the accepted qty, was modified","","ACCEPTED.ITEMS","","$VR.ACCEPT.CHANGE.CODES","1993-10-31","HHS","","","2020-05-27T14:54:48.215Z"
"AITM.ACCEPT.LAST.INITIATOR","","","","D","","10","","","","","","","","","","","","","","119","","10L","0","","","ACCEPTED.ITEMS","","","1993-10-31","HHS","","","2020-05-27T14:54:45.949Z"
"AITM.ACCEPTED.CONDITION","","","","L","","30","Accepted Item Condition","","","","","","","","","","","","","88","","30L","0","Used for reporting purposes to track the condition an, item was in on receipt.  Might be useful for returns, if, an item was accepted as dented and is later found to be, defective.","","ACCEPTED.ITEMS","","$VR.ITEM.CONDITION","1993-06-17","SMG","","","2020-05-27T14:54:47.871Z"
"AITM.ACCEPTED.PRICE","","","N","D","","15","Price Accepted","","","","Y","4","N","N","","","","","","46","MD4,","15R","0","Provides a trail in case the price on the purchase order, is not the same as the price of the item when in was, received and accepted.","Price Accepted","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:46.371Z"
"AITM.ACCEPTED.QTY","","","N","D","","11","Quantity Accepted","40000","","","Y","3","N","N","","","","","","45","MD3,","11R","0","This shows how many of the items ordered were actually, received and accepted.  used in calculation of, AITM.PO.EXT.PRICE, AITM.PO.GL.AMT and is carried over to, the voucher., , After initial entry and the record is saved, if this, field is changed, a change reason is required.  Any, time the accepted quantity is altered (even on initial, entry), the accepted quantity, operator, current date, and change reason are written to the corresponding, AITM.ACCEPT.HIST... fields., , On the POAL screen the accepted quantity cannot be changed to zero, if the order quantity on the backordered item that is associated to, the item has been modified. The backordered item must first be adjusted, in this case.","Qty Accepted","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:47.684Z"
"AITM.ADD.DATE","","","D","D","","8","Add Date","","","","N","2","/","","","","","","","13","D2/","8R","0","Kept but not otherwise used by the system.","Add Date","ACCEPTED.ITEMS","","","1993-02-12","GTT","","","2020-05-27T14:54:47.996Z"
"AITM.ADD.OPERATOR","","","","D","","10","Add Oper","","N","","","","","","","","","","","14","","10L","15","Kept but not otherwise used by the system.","Add Operator","ACCEPTED.ITEMS","","","1993-02-12","GTT","","","2020-05-27T14:54:47.199Z"
"AITM.ARRIVED.VIA","","","","D","","20","Arrived Via","","","","","","","","","","","","","90","","20L","0","Not used by system, but user can see if their ship via, instructions were actually followed.","","ACCEPTED.ITEMS","","","1993-06-17","SMG","","","2020-05-27T14:54:46.652Z"
"AITM.BACKORDER.FROM.ITEMS.ID","","","","D","","10","","","","","","","","","","","","","","117","","10L","0","","","ACCEPTED.ITEMS","","","1993-10-30","HHS","","","2020-05-27T14:54:46.230Z"
"AITM.BACKORDER.TO.ITEMS.ID","","","","D","","10","","","","","","","","","","","","","","116","","10L","0","When a items po accepted quantity is lees than the, quantity ordered a backorder items record is created for, the remaining quantity. This field contains the ITEMS id, of the ITEMS record that was generated from PUS003.","","ACCEPTED.ITEMS","","","1993-10-30","HHS","","","2020-05-27T14:54:46.387Z"
"AITM.BPO.ID","","","","X","","8","Blanket PO Number","","N","","","","","","","","","BPO.ITEMS.ID","BPO.ID","58","","8L","10","Key to BPO file.","","ACCEPTED.ITEMS","","","1993-09-06","SMG","","","2020-05-27T14:54:47.074Z"
"AITM.CHANGE.DATE","","","D","D","","8","Change Date","","","","N","2","/","","","","","","","15","D2/","8R","0","Kept but not used by the system.","Change Date","ACCEPTED.ITEMS","","","1993-02-12","GTT","","","2020-05-27T14:54:47.574Z"
"AITM.CHANGE.OPERATOR","","","","D","","10","Change Oper","","N","","","","","","","","","","","16","","10L","15","Kept but not otherwise used by the system.","Change Operator","ACCEPTED.ITEMS","","","1993-02-12","GTT","","","2020-05-27T14:54:46.434Z"
"AITM.COMMENTS","","","","C","","50","Comments","This is a sample item comment.","","","","","","","","","","","","11","","50L","80","Not used by system, but can be used for reporting, purposes.  Since this field is for the entire item (not, just the voucher or the PO), it can be entered on the, purchasing side and be viewed by the AP side.","Comments","ACCEPTED.ITEMS","","","1993-02-12","GTT","","","2020-05-27T14:54:47.434Z"
"AITM.COMMODITY.CODE","","","","X","","15","Commodity","","","","","","","","","","","","COMMODITY.CODES.ID","64","","15L","0","Used to default fields into the ITEMS record and to, issue warnings in the receiving function.","","ACCEPTED.ITEMS","","","1993-03-16","SMG","","","2020-05-27T14:54:47.309Z"
"AITM.DESC","","","","L","","25","Description","Computer Paper","N","","","","","","","","","","","1","","25L","80","This field is used for reporting purposes.","Item Description","ACCEPTED.ITEMS","","","1993-02-12","RLP","","","2020-05-27T14:54:46.059Z"
"AITM.EXPECTED.DELIVERY.DATE","","","D","D","","8","Expected Date","","","","N","2","/","","","","","","","86","D2/","8R","0","Can be used for p.o. tracking and reporting purposes.","","ACCEPTED.ITEMS","","","1992-07-20","CURT","","","2020-05-27T14:54:46.887Z"
"AITM.FIXED.ASSETS.FLAG","","","","D","","3","Fixed Asset","No","","","","","","","","","","","","7","","3L","0","Used as part of the interface to fixed assets.  Any items, with this flag set to Y are to be treated as fixed assets.","Fixed Asset","ACCEPTED.ITEMS","","","1993-02-12","GTT","","","2020-05-27T14:54:46.902Z"
"AITM.INITIATOR","","","","D","","20","Initiator","W. Klink","","","","","","","","","","","","3","","20L","0","Displayed but not otherwise used by the system.","","ACCEPTED.ITEMS","","","1993-09-01","SMG","","","2020-05-27T14:54:45.402Z"
"AITM.INVN.STORE","","","","D","","1","Inventory Store","","","","","","","","","","","","","2","","1L","0","Along with AITM.STOCK.NO, is the key to the INVENTORY, file.","Inventory Store","ACCEPTED.ITEMS","","","1993-02-12","RLP","","","2020-05-27T14:54:46.262Z"
"AITM.INVN.STORE.GLNO","","","","D","","25","GL Account No","","","","","","","","","","","","","4","","25L","0","Used as the distribution account for all line items, in the purchase order.","Inventory Store GL Acct","ACCEPTED.ITEMS","","","1993-02-12","GTT","","","2020-05-27T14:54:45.809Z"
"AITM.INVOICE.DATE","","","D","D","","8","Invoice Date","9134","","","N","2","/","","","","","","","63","D2/","8R","0","This field is used for reporting purposes.","Item Inv Date","ACCEPTED.ITEMS","","","1993-02-15","RLP","","","2020-05-27T14:54:46.574Z"
"AITM.INVOICE.NO","","","","D","","18","Invoice Number","1234556789","N","","","","","","","","","","","62","","18L","18","This field is used for inquiry purposes.","Item Inv Number","ACCEPTED.ITEMS","","","1993-02-15","RLP","","","2020-05-27T14:54:47.887Z"
"AITM.MSDS.RECEIVED.FLAG","","","","D","","3","MSDS Received","","","","","","","","","","","","","9","","3L","0","A warning is issued if a commodity is tagged as needing, an MSDS but this received flag is not set to Y(es).","","ACCEPTED.ITEMS","","","1993-08-05","SMG","","","2020-05-27T14:54:46.855Z"
"AITM.ORDER.DATE","","","D","D","","8","Order Date","","","","N","2","/","","","","","","","111","D2/","8R","0","Used to sort the blanket p.o. item list.  Not used by, anybody else.","","ACCEPTED.ITEMS","","","1993-09-13","SMG","","","2020-05-27T14:54:48.027Z"
"AITM.PACKING.SLIP.NO","","","","D","","15","Packing Slip No","","","","","","","","","","","","","48","","15L","0","Displayed but not otherwise used by the system.","","ACCEPTED.ITEMS","","","1993-08-23","SMG","","","2020-05-27T14:54:47.980Z"
"AITM.PO.EXT.PRICE","","","N","D","","14","Extended Price","40000","","","Y","2","N","N","","","","","","36","MD2,","14R","0","This is used to validate and calculate GL distribution, amounts.  If foreign currency is involved, this is in, the foreign currency.","PO Ext Price","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:47.027Z"
"AITM.PO.GL.ACCT.TAX.CODE","","","","L","","5","GL No Tax Code","","N","","","","","","","","","","","95","","5L","0","This tax code is the associated code to the GL number when, the Item tax codes has rebate/refund flag set to ""Y""es.","","ACCEPTED.ITEMS","","","1993-06-29","AUS","","","2020-05-27T14:54:47.543Z"
"AITM.PO.GL.AMT","","","N","L","","14","GL Amt","","N","","Y","2","N","N","","","","","","40","MD2,","14R","0","This field is used to determine the GL account percentage, of item extended price as well as being the amount charged, to the GL account.  Even if foreign currency is involved, , this field is always in the local currency.","PO GL Amt","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:46.074Z"
"AITM.PO.GL.FOREIGN.AMT","","","N","L","","14","[GL Foreign Amt]","","","","Y","2","N","N","","","","","","38","MD2,","14R","0","This amount is the foreign amount before the currency, conversion.  This is what the user enters; the local amount, is what gets sent to the general ledger.","PO GL Foreign Amt","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:46.418Z"
"AITM.PO.GL.FOREIGN.TAX.AMT","","","N","L","","12","Foreign Tax","","","","Y","2","N","N","","","","","","114","MD2,","12R","0","Stores the foreign tax amount for line items, in foreign currency.","Foreign Tax Amt","ACCEPTED.ITEMS","","","1993-10-17","SMG","","","2020-05-27T14:54:45.590Z"
"AITM.PO.GL.NO","","","","L","","25","GL Account No","10523001","","","","","","","","","","","","39","","25L","0","Used to post encumbrances to GL.","PO GL Account","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:46.371Z"
"AITM.PO.GL.PCT","","","N","L","","7","Percent","","","","N","3","N","N","","","","","","41","MD3","7R","0","This is used to calculate the amount charged to the, GL account.","PO GL Pct","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:47.559Z"
"AITM.PO.GL.QTY","","","N","L","","11","Quantity","","","","Y","3","N","N","","","","","","37","MD3,","11R","0","Distribution by quantity.","","ACCEPTED.ITEMS","","","1993-06-15","SMG","","","2020-05-27T14:54:46.105Z"
"AITM.PO.GL.REBATE.AMT","","","N","L","","10","Rebate Amt","","","","Y","2","N","N","","","","","","100","MD2,","10R","0","This is used for reporting purposes to avoid having to, recalculate the rebate amount.","Rebate_Amt","ACCEPTED.ITEMS","","","1993-09-09","CJK","","","2020-05-27T14:54:47.668Z"
"AITM.PO.GL.REFUND.AMT","","","N","L","","10","Refund Amt","","","","Y","2","N","N","","","","","","101","MD2,","10R","0","This is used for reporting purposes to keep from having, to recalculate the amount.","Refund_Amt","ACCEPTED.ITEMS","","","1993-09-09","CJK","","","2020-05-27T14:54:47.012Z"
"AITM.PO.GL.TAX.AMT","","","N","L","","12","Tax Amount","","","","Y","2","N","N","","","","","","94","MD2,","12R","0","System-calculated, but can be overridden by user.","GL_Tax_Amt","ACCEPTED.ITEMS","","","1993-06-29","AUS","","","2020-05-27T14:54:45.699Z"
"AITM.PO.GL.TAX.CALC.FLAG","","","","L","","3","System Calculated?","","","","","","","","","","","","","97","","3L","0","If amounts or something else changes, a value of N(o) in, this field would keep the system from recalculating.","","ACCEPTED.ITEMS","","","1993-07-21","CJK","","","2020-05-27T14:54:45.418Z"
"AITM.PO.GL.TAX.CODE","","","","L","","5","Purchase Order Tax Code","","N","","","","","","","","","","","93","","5L","0","Defaults from line item tax code, but can be overridden., Used to compute tax amount","PO_Tax_Code","ACCEPTED.ITEMS","","$VAR.AP.TAXES","1993-06-29","AUS","","","2020-05-27T14:54:48.168Z"
"AITM.PO.ID","","","","X","","8","PO Number","","N","","","","","","","","","","PURCHASE.ORDERS.ID","30","","8L","10","Return link to PURCHASE.ORDERS file","PO ID","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:46.387Z"
"AITM.PO.ISSUE","","","","D","","20","Unit of Issue","BX  Boxes","","","","","","","","","","","","32","","20L","0","Used for reporting purposes","PO Unit of Issue","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:46.996Z"
"AITM.PO.LINE.GL.NO","","","","L","","25","GL Account No","","","","","","","","","","","","","91","","25L","0","This is the controller of the tax association for, purchase orders.  It is the same as AITM.PO.GL.NO, but is, repeated to avoid sub-values since each line item can, have multiple GL numbers and each GL number can span, multiple tax entries.","GL_Account_No","ACCEPTED.ITEMS","","","1993-06-29","AUS","","","2020-05-27T14:54:47.027Z"
"AITM.PO.ORIGINAL.ITEMS.ID","","","","D","","10","","","","","","","","","","","","","","115","","10L","0","This is a pointer back to the items record that originally, was ordered on the purchase order. Each backordered items, record will contain a pointer.","","ACCEPTED.ITEMS","","","1993-10-30","HHS","","","2020-05-27T14:54:46.840Z"
"AITM.PO.PRICE","","","N","D","","15","Price","100000","","","Y","4","N","N","","","","","","33","MD4,","15R","0","Used to calculate extended price.  For foreign currency,, this is in the foreign currency.","PO Price","ACCEPTED.ITEMS","","","1993-02-15","GTT","","","2020-05-27T14:54:46.324Z"
