"ids","Alternate Dictionaries ","Computed Column Code ","Converted From ","Data Element Synonym ","Data Element Synonym Xref ","Data Type ","Database Usage Type ","Default Display Secure ","Default Display Size ","Default Input Processing ","Default Input Prompt ","Default Justification ","Default Mask ","Default Output Processing ","Default Sample Data ","Default Zero Pad ","Derived Sec Ptr ","Displayed By Xref ","Dt1 ","Dt2 ","Dt3 ","Dt4 ","Dt5 ","Element Assoc Name ","Element Assoc Type ","Element Pointed From ","Element Pointed To ","Field Placement ","I Descriptor ","Index Assn Name ","Index Assn Placement ","Inform Conversion String ","Inform Format String ","Input Prompt Location ","Input Prompt Variable ","Internal Computations ","Just Pad Character ","Key Counter Source ","Logical File Alias ","Lookup Prompt ","Maximum Storage Size ","Modified By Xref ","Permanent Demand Elements ","Permanent Demand Keys ","Permanent Demand Write ","Permanent Init Inserts ","Pointer Deletion Strategy ","Purpose ","Relation File Name ","Relfile Keybuild Strategy ","Report Header ","Sce From Files ","Sce Link Attrs ","Sce Link Subrs ","Sce Recalc Flag Field ","Sce Status Flag ","Sce Subr Args ","Sce Subr Name ","Sce Subr Sources ","Sce To Files ","Sce Trigger Cdds ","Snapshots ","Source ","Sql Compliant Name ","Synonym Field Delimiter ","Synonym Field Position ","Toolcdd Add Date ","Toolcdd Add Operator ","Toolcdd Auto Xref Files ","Toolcdd Auto Xref Keys ","Toolcdd Change Date ","Toolcdd Change Operator ","Toolcdd Demand Subrs ","Toolcdd Dict Changed Ver ","Toolcdd Idesc Smtype ","Toolcdd Lkup Add Mode ","Toolcdd Lkup Arg Var ","Toolcdd Lkup Attr Table ","Toolcdd Lkup Crnt Id Var ","Toolcdd Lkup File Inherit ","Toolcdd Lkup File Name ","Toolcdd Lkup Id List Var ","Toolcdd Lkup Limit New Size ","Toolcdd Lkup Nk Add Option ","Toolcdd Lkup Nk At Once ","Toolcdd Lkup Not Found Hook ","Toolcdd Lkup Post Reso Hook ","Toolcdd Lkup Pre Reso Hook ","Toolcdd Lkup Prompt Text ","Toolcdd Lkup Rec Add Hook ","Toolcdd Lkup Rec Found Hook ","Toolcdd Lkup Reso Hook ","Toolcdd Lkup Sel Conn ","Toolcdd Lkup Sel Field ","Toolcdd Lkup Sel Rel Opcode ","Toolcdd Lkup Sel Stmt ","Toolcdd Lkup Sel Value ","Toolcdd Lkup Sort Fields ","Toolcdd Lkup Sort Order ","Toolcdd Valid Platforms ","Truncation Flag ","Validation Table ","Validation Zero Fill Size ","Views "
"ACCT.FDATE.OVRD.FYEAR","","","","","","","D","N","3","$YN","Date Warning to Override Year Warning","L","","$YN","N","N","","","","","","","","","","","","26","","","","","3L","","","","","","","","1","","","","","","","Flag for Future Date Warning to Override Future Year, Warning.","","","","","","","","","","","","","","","GLSTRUCT","","","0","1992-08-21","CT7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.FUNC.POS","","","","","","","D","N","5","","","R","","","4","N","","","","","","","","","","","","11","","","","","5R","","","","","","","","0","","","","","","","General Ledger Account Structure:, Major component: FUNCTION relative Key position","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.FUND.POS","","","","","","","D","N","5","","","R","","","1","N","","","","","","","","","","","","8","","","","","5R","","","","","","","","0","","","","","","","General Ledger Account Structure:, FUND component relative position in Key","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.FUTURE.PERIODS","","","","","","","D","N","2","","Number of Months in Future Date Warning","R","","","3","N","","","","","","","","","","","","25","","","","","2R","","","","","","","","3","","","","","","","To Enter Number of Periods For Future Warning","","","","","","","","","","","","","","","GLSTRUCT","","","0","1992-08-21","CT7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.INPUT.DELIMITERS","","","","","","","D","N","1","","","L","","",".","N","","","","","","","","","","","","14","","","","","1L","","","","","","","","0","","","","","","","General Ledger Account Structure:, User private entry delimiter for major components","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-07-13","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.LENGTH","","","","","","N","A","N","2","","Length","R","","","5","N","","","N","0","N","N","","GLMAJOR","D","","","7","","","","MD0","2R","","","","","","","","0","","","","","","","General Ledger Account Structure:, Major component length","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.LOCATION.POS","","","","","","","D","N","5","","","R","","","5","N","","","","","","","","","","","","15","","","","","5R","","","","","","","","0","","","","","","","General Ledger Account Structure:, Major component: CAMPUS relative Key position","","","","","","","","","","","","","","","GLSTRUCT","","","0","1989-03-28","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.MANAGER.CORP.INDICATOR","","","","","","","D","","3","$YN","Corp Indicator","L","","$YN","","","","","","","","","","","","","","66","","","","","3L","","","","","","","","1","","","","","","","Contains Y if corporation","","","Corp, Indicator","","","","","","","","","","","","ACCT.MANAGER","","","0","1994-03-27","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.MANAGER.ID","","","","","","","K","","7","","Acct Manager ID","L","","","","N","","","","","","","","","","","","0","","","","","7L","","","","","","","","10","","","","","","","Key to logical record for Account Manager in SHARE file","","","Acct Manager ID","","","","","","","","","","","","ACCT.MANAGER","","","0","1993-09-08","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.MANAGER.LAST","","","","","","","D","","25","","Last","L","","","","","","","","","","","","","","","","1","","","","","25L","","","","","","","","25","","","","","","","Last name of logical person ACCT.MANAGER","","","Last","","","","","","","","","","","","ACCT.MANAGER","","","0","1993-09-08","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.MANAGER.MAIL.LABEL","","","","","","","L","","57","","Mail Name","L","","","Mr. Gregory H. Smith","","","","","","","","","","","","","18","","","","","57L","","","","","","","","57","","","","","","","This person's name fit into 30 chrs suitable, for mail labels.  *** Maximum 2 lines ***","","","","","","","","","","","","","","","ACCT.MANAGER","","","0","1994-03-27","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.MANAGER.PREF.NAME","","","","","","","D","","60","$UC.WORD","Pref Name","L","","","Mr. Gregory H. Smith","","","","","","","","","","","","","15","","","","","60L","","","","","","","","60","","","","","","","Preferred or full name of this person","","","","","","","","","","","","","","","ACCT.MANAGER","","","0","1994-03-27","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.MASK","","","","","","","D","N","20","","","L","","","L## #### #####","N","","","","","","","","","","","","12","","","","","20L","","","","","","","","30","","","","","","","General Ledger Account Structure:, Account Number format Mask (Inform)","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.NAMES","","","","","","","A","N","15","$UC","External Name","L","","","FUND","N","","","","","","","","GLMAJOR","K","","","5","","","","","15L","","","","","","","","15","","","","","","","General Ledger Account Structure:, Component Name","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.NEW.GL.LKUP.FLAG","","","","","","","D","N","3","$YN","Use Graphical Account Number LookUp","L","","$YN","Y","N","","","","","","","","","","","","31","","","","","3L","","","","","","","","1","","","","","","","If this field has a 'Y'es, the GL.ACCTS lookup will, use the standard resolution. If it is 'N'o, it will, continue to use the old code that paints the  , resolution on screen. If it is blank, it will      , be interpreted as a 'Y'es.     , This flag was implemented to allow customers to    , revert back to the old lookup in case the new      , option created unforeseen problems.","","","","","","","","","","","","","","","GLSTRUCT","","","0","2002-01-03","TGL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","0",""
"ACCT.OBJ.POS","","","","","","","D","N","5","","","R","","","3","N","","","","","","","","","","","","10","","","","","5R","","","","","","","","0","","","","","","","General Ledger Account Structure:, Major component: OBJECT relative Key position","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.OVERRIDE.TOKENS","","","","","","","L","N","5","$UC","","L","","","FAV","N","","","","","","","","","","","","22","","","","","5L","","","","","","","","5","","","","","","","List of tokens for override security used for GL actions:, Position and defaults are:,   1) FAV for funds availibility override authority,   2) DNC for debit not equal to credits override authority,   3) FBAL for funds out of balance override authority,   4) PCP for posting to prior periods","","","","","","","","","","","","","","","GLSTRUCT","","","0","1989-03-10","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.SECURE.CLOSED.PERIOD","","","","","","","D","N","3","$YN","Require Override for Closed Months","L","","$YN","Y","N","","","","","","","","","","","","23","","","","","3L","","","","","","","","1","","","","","","","Normally, a warning message is given when an attempt to, post to a prior period is made.  A 'Y' in this field will, force a password override before accepting a transaction, date which would post to a prior, closed period","","","","","","","","","","","","","","","GLSTRUCT","","","0","1989-11-13","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.SIZE","","","","","","","L","N","5","","","R","","","13","N","","","","","","","","","","","","1","","","","","5R","","","","","","","","2","","","","","","","General Ledger Account size and Major Component Count., MV1 is the lenght of the complete GL account number, and MV2 is the total number of major components in the, GL account number.  This curious structure is required, by older COLLEAGUE programs.","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.SOURCE.POS","","","","","","","D","N","5","","","R","","","6","N","","","","","","","","","","","","16","","","","","5R","","","","","","","","0","","","","","","","General Ledger Account Structure:, Major component: COLLEGE relative Key position","","","","","","","","","","","","","","","GLSTRUCT","","","0","1989-03-28","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.START","","","","","","","A","N","5","","","R","","","1","N","","","","","","","","GLMAJOR","D","","","6","","","","","5R","","","","","","","","0","","","","","","","General Ledger Account Structure:, Major Component starting position","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.STRUCTURE.INTG.ID","","","","","","","K","N","15","","","L","","","","N","","","","","","","","","","","","0","","","","","15L","","","","","","","","15","","","","","","","The GL account structure subcomponent name.","","","ACCT.STRUCTURE.INTG.ID","","","","","","","","","","","","ACCT.STRUCTURE.INTG","","","0","2018-04-23","ASAINJU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.SUB.LGTH","","","","","","","L","N","5","","","R","","","2","N","","","","","","","","","","","","3","","","","","5R","","","","","","","","0","","","","","","","General Ledger Account Structure:, Substring Length","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.SUB.NAME","","","","","","","L","N","15","","","L","","","OOBJECT.CLASS","N","","","","","","","","","","","","4","","","","","15L","","","","","","","","0","","","","","","","General Ledger Account Structure:, SubString component Name","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.SUB.NAME.HOLD","","","","","","","L","","15","","","L","","","FUND.GROUP","N","","","","","","","","","","","","4","","","","","15L","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","GLSTRUCT.HOLD","","","0","2003-10-20","TGL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.SUB.START","","","","","","","L","N","5","","","R","","","1","N","","","","","","","","","","","","2","","","","","5R","","","","","","","","0","","","","","","","General Ledger Account Structure:, SubString Start Location","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.SUPER.CORP.INDICATOR","","","","","","","D","","3","$YN","Corp Indicator","L","","$YN","","","","","","","","","","","","","","66","","","","","3L","","","","","","","","1","","","","","","","Contains Y if corporation","","","Corp, Indicator","","","","","","","","","","","","ACCT.SUPER","","","0","1994-03-27","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.SUPER.ID","","","","","","","K","","7","","Acct Super ID","L","","","","","","","","","","","","","","","","0","","","","","7L","","","","","","","","7","","","","","","","Key to logical record Account Supervisor in SHARE file","","","Acct Super ID","","","","","","","","","","","","ACCT.SUPER","","","0","1993-09-08","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.SUPER.LAST","","","","","","","D","","25","","Last","L","","","","","","","","","","","","","","","","1","","","","","25L","","","","","","","","25","","","","","","","Last name of logical person ACCT.SUPER","","","Last","","","","","","","","","","","","ACCT.SUPER","","","0","1993-09-08","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.SUPER.MAIL.LABEL","","","","","","","L","","57","","Mail Name","L","","","Mr. Gregory H. Smith","","","","","","","","","","","","","18","","","","","57L","","","","","","","","57","","","","","","","This person's name fit into 30 chrs suitable, for mail labels.  *** Maximum 2 lines ***","","","","","","","","","","","","","","","ACCT.SUPER","","","0","1994-03-27","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.SUPER.PREF.NAME","","","","","","","D","","60","$UC.WORD","Pref Name","L","","","Mr. Gregory H. Smith","","","","","","","","","","","","","15","","","","","60L","","","","","","","","60","","","","","","","Preferred or full name of this person","","","","","","","","","","","","","","","ACCT.SUPER","","","0","1994-03-27","STEVEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.UNIT.POS","","","","","","","D","N","5","","","R","","","2","N","","","","","","","","","","","","9","","","","","5R","","","","","","","","0","","","","","","","General Ledger Account Structure:, Major component: UNIT relative Key position","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACTIVITY.SEQ","","","","","","N","D","","9","","","R","","","1","","","","N","0","N","N","","","","","","7","","","","MD0","9R","","","","","","","","9","","","","","","","Activity Counter for this Account Number this FYR","","","","","","","","","","","","","","","GLS.FYR","","","0","1988-05-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACTUAL.AMT","","real xResult1; , xResult1 = ((vlMdebits).Sum() - (vlMcredits).Sum());, return (money)xResult1;","","","","N","I","","10","","","R","","","","","","","Y","2","N","N","2","","","","","0","((SUM(MDEBITS)) - (SUM(MCREDITS)))","","","MD2,-","10R","","","","","","","","0","","MCREDITS, MDEBITS","","","","","To give the sum of the actual amount","","","","","","","","","","","","","","","GLS.FYR","","","0","1991-12-10","KIM","","","","","","","S","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ADJ.BUDGET.AMT","","real xResult1; , xResult1 = (((vlBOrigApprovedDistAmt).Sum() + (vlBApprMdebits).Sum()) - (vlBApprMcredits).Sum());, return (money)xResult1;","","","","N","I","","8","","","R","","","","","","","Y","2","N","N","2","","","","","0","((((SUM(B.ORIG.APPROVED.DIST.AMT)) + (SUM(B.APPR.MDEBITS)))) - (SUM(B.APPR.MCREDITS)))","","","MD2,-","8R","","","","","","","","0","","B.APPR.MDEBITS, B.ORIG.APPROVED.DIST.AMT, B.APPR.MCREDITS","","","","","To give the adjusted budget dollar amount for MV fields","","","","","","","","","","","","","","","GLS.FYR","","","0","1991-12-04","KIM","","","","","","","S","","","","","","","","","","","","","","","","","","","","","","","","","U","","","0",""
"AITM.ACCEPT.HIST.CHG.REASON","","","","","","","L","","25","$UC","Change Reason","L","","TRANSLATE "" ""","","","","","","","","","","","","","","105","","","","","25L","","","","","","","","0","","","","","","","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order so most recent, is always first., , Not required the first time an accepted quantity is, entered.  Once record is saved, if the accepted quantity, is changed, will be required.  This is logging accepted, quantity changes for auditing purposes; the accepted, quantity, change reason, operator and date will be written, to the ACCEPT.HISTORY association to keep track of the, accepted quantity changes.","","","","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-09-10","SMG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$VR.ACCEPT.CHANGE.CODES","0",""
"AITM.ACCEPT.HIST.DATE","","","","","","D","L","","8","","Date","R","","","","","","","N","2","/","","","","","","","104","","","","D2/","8R","","","","","","","","0","","","","","","","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order.","","","","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-09-10","SMG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"AITM.ACCEPT.HIST.INITIATOR","","","","","","","L","","20","","Change Initiator","L","","","","","","","","","","","","","","","","106","","","","","20L","","","","","","","","0","","","","","","","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order.","","","","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-09-21","SMG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"AITM.ACCEPT.HIST.OPERATOR","","","","","","","L","","20","","Entered By","L","","","","","","","","","","","","","","","","103","","","","","20L","","","","","","","","0","","","","","","","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order.","","","","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-09-10","SMG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"AITM.ACCEPT.HIST.QTY","","","","","","N","L","","11","","Quantity Accepted","R","","","","","","","Y","3","N","N","","","","","","102","","","","MD3,","11R","","","","","","","","0","","","","","","","Displayed but not used by the system.  Stored in descen-, ding date (AITM.ACCEPT.HIST.DATE) order.","","","","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-09-10","SMG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"AITM.ACCEPT.LAST.CHG.REASON","","","","","","","D","","25","","Change Reason","L","","TRANSLATE "" ""","","","","","","","","","","","","","","118","","","","","25L","","","","","","","","0","","","","","","","This field tracks the last reason that the accepted qty, was modified","","","","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-10-31","HHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$VR.ACCEPT.CHANGE.CODES","0",""
"AITM.ACCEPT.LAST.INITIATOR","","","","","","","D","","10","","","L","","","","","","","","","","","","","","","","119","","","","","10L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-10-31","HHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"AITM.ACCEPTED.CONDITION","","","","","","","L","","30","$UC","Accepted Item Condition","L","","TRANSLATE "" ""","","","","","","","","","","","","","","88","","","","","30L","","","","","","","","0","","","","","","","Used for reporting purposes to track the condition an, item was in on receipt.  Might be useful for returns, if, an item was accepted as dented and is later found to be, defective.","","","","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-06-17","SMG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$VR.ITEM.CONDITION","0",""
"AITM.ACCEPTED.PRICE","","","","","","N","D","","15","IF EDITED.DATA GT 999999999999 OR EDITED.DATA LT -999999999999 THEN,    ERROR.OCCURRED = 1,    MSG = ""AP284"", END","Price Accepted","R","","","","","","","Y","4","N","N","","","","","","46","","","","MD4,","15R","","","","","","","","0","","","","","","","Provides a trail in case the price on the purchase order, is not the same as the price of the item when in was, received and accepted.","","","Price Accepted","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-02-15","GTT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
