"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"ABD.COVERAGE.START.SUBR","","","","D","N","30","Coverage Start Subr","S.SUBROUTINE.NAME","N","","","","","","","","","","","20","","30L","30","Subroutine to use to calculate coverage start date if an , institutions calculation methods are not covered by one of the standard , calculation methods.","Coverage Start, Subr","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:23.336Z"
"ABD.ELIGIBILITY.GROUPS","","","","Q","N","66","Eligibility Groups","PTMIN20","N","","","","","","","","","","ACA.BENEFIT.ELIG.GRP.ID","8","","66L","20","MV list of benefit eligibility group IDs that identify the employees who are , eligible for the benefit associated with this record.","Eligibility Groups","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:20.648Z"
"ABD.END.DATE","","","","D","N","10","End Date","12/31/14","N","","","","","","","","","","","3","D2/","10R","8","End date these benefit details are in effect","End Date","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:25.164Z"
"ABD.IN.USE","","","","D","N","14","In Use","Yes","N","","","","","","","","","","","9","","14L","14","This flag is set by the system and marks the ACA benefit details record as in , use.","In Use","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:23.023Z"
"ABD.MIN.ESSENTIAL.COVERAGE","","","","D","N","3","Minimum","Yes","N","","","","","","","","","","","7","","3L","1","Yes/No to indicate if this benefit meets minimum essential coverage","Min, Essential Coverage","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:24.664Z"
"ABD.MINIMUM.VALUE","","","","D","N","3","Minimum","Yes","N","","","","","","","","","","","5","","3L","1","Yes/No to indicate if this benefit meets minium value","Minimum, Value","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:19.867Z"
"ABD.MONTHLY.COBRA.COST","","","","D","N","12","Montly COBRA Cost","323.44","N","","","","","","","","","","","22","MD2,","12R","9","Contains the employee share of the monthly COBRA cost of the benefit.","Montly COBRA, Cost","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:21.555Z"
"ABD.MONTHLY.EMPLOYEE.COST","","","","D","N","12","Monthly Employee Cost","123.55","N","","","","","","","","","","","17","MD2,","12R","9","Contains the employee share of the monthly cost of the benefit.","Monthly, Employee, Cost","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:22.898Z"
"ABD.SELF.INSURED","","","","D","N","3","Self-Insured","Yes","N","","","","","","","","","","","6","","3L","1","Yes/No to indicate if this benefit is considered self-insured","Self-Insured","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:20.492Z"
"ABD.START.DATE","","","","D","N","10","Start Date","12/31/14","N","","","","","","","","","","","2","D2/","10R","8","Start date these benefit details are in effect","Start Date","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:19.570Z"
"ABEG.AFFORD.SAFE.HARBOR","","","","D","N","24","Affordability Safe Harbor","PAY","N","","","","","","","","","","","25","","24L","3","Identifies the ACA affordability safe hrbor code for this benefit eligibility , group.","Affordability, Safe Harbor","ACA.BENEFIT.ELIG.GRP","N","$VR.ACA.AFFORDABILITY.SAFE.HARBORS","","","","","2020-05-27T14:58:20.695Z"
"ABEG.BARGAINING.UNITS","","","","L","N","10","Bargaining Units","AFT","N","","","","","","","","","","","7","","10L","10","Filter individuals in this eligibility group by bargaining unit.","ACA Ben Elig Grp, Bargaining Unit","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:22.383Z"
"ABEG.CLASSIFICATIONS","","","","L","N","30","Classifications","FAC","N","","","","","","","","","","","8","","30L","4","Filter individuals in this eligibility group by position classification.","ACA Ben Elig Grp, Classification","ACA.BENEFIT.ELIG.GRP","N","$VR.CLASSIFICATIONS","","","","","2020-05-27T14:58:21.117Z"
"ABEG.COMMENTS","","","","C","N","45","Comments","This group is for variable hours employees who receive benefits","N","","","","","","","","","","","2","","45L","0","","ACA Benefit Eligibility, Group Comments","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:22.867Z"
"ABEG.DESCRIPTION","","","","D","N","45","Description","Part-time benefit-eligible employees","N","","","","","","","","","","","1","","45L","45","Description of a group of individuals who are eligible for one or more health , care benefits","ACA Benefit Eligibility, Group Description","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:22.773Z"
"ABEG.ELIG.BASED.ON.ACA.HOURS","","","","D","N","3","Eligibility based on ACA hours","Yes","N","","","","","","","","","","","3","","3L","1","Yes if eligibility is based on the employee's number of hours worked; , otherwise No.","Elig based on, ACA hours","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:20.289Z"
"ABEG.ELIG.DATE.SUBR","","","","D","N","30","","","N","","","","","","","","","","","22","","30L","30","OBSOLETE DO NOT USE","","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:24.273Z"
"ABEG.ELIG.END.DATE.METHOD","","","","D","N","32","Eligibility End Method","STATUS","N","","","","","","","","","","","21","","32L","6","Method used to calculate the start date of eligibility.","Eligibility End Method","ACA.BENEFIT.ELIG.GRP","N","$VR.ACA.OFFER.END.DATE.METHODS","","","","","2020-05-27T14:58:21.773Z"
"ABEG.ELIG.END.DATE.SUBR","","","","D","N","30","Eligibility End Subroutine","S.SUBROUTINE.NAME","N","","","","","","","","","","","24","","30L","30","Subroutine to use to calculate benefit offer end date if an , institutions calculation methods are not covered by one of the standard , calculation methods.","Eligibility End, , Subroutine","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:21.461Z"
"ABEG.ELIG.START.DATE.METHOD","","","","D","N","32","Eligibility Start Method","STATUS","N","","","","","","","","","","","20","","32L","6","Method used to calculate the end date of eligibility.","Eligibility Start Method","ACA.BENEFIT.ELIG.GRP","N","$VR.ACA.OFFER.START.DATE.METHODS","","","","","2020-05-27T14:58:21.414Z"
"ABEG.ELIG.START.DATE.SUBR","","","","D","N","30","Eligibility Start","S.SUBROUTINE.NAME","N","","","","","","","","","","","23","","30L","30","Subroutine to use to calculate benefit offer start date if an , institutions calculation methods are not covered by one of the standard , calculation methods.","Eligibility Start, Subroutine","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:21.648Z"
"ABEG.HR.STATUSES","","","","L","N","25","Statuses","PT","N","","","","","","","","","","","6","","25L","10","Filter individuals in this eligibility group by HR status.","ACA Ben Elig Grp, Status","ACA.BENEFIT.ELIG.GRP","N","$VR.HR.STATUSES","","","","","2020-05-27T14:58:19.945Z"
"ABEG.IN.USE","","","","D","N","14","In Use","Yes","N","","","","","","","","","","","13","","14L","14","This flag is set by the system and marks the ACA benefit eligibility group , record as in use.","In Use","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:24.695Z"
"ABEG.MAX.NUM.ACA.HOURS","","","","D","N","6","Maximum Weekly ACA Hrs","","N","","","","","","","","","","","5","MD2","6R","6","For a benefit eligibility group based on the employee's number of service , hours, designates the maximum required number of service hours/week to be , eligible for this group.","Max Weekly, ACA Hrs","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:20.055Z"
"ABEG.MIN.NUM.ACA.HOURS","","","","D","N","6","Minimum Weekly ACA Hrs","20","N","","","","","","","","","","","4","MD2","6R","6","For a benefit eligibility group based on the employee's number of service , hours, designates the minimum required number of service hours/week to be , eligible for this group.","Min Weekly, ACA Hrs","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:20.008Z"
"ABEG.PAY.CLASSES","","","","L","N","35","Pay Classes","BWH","N","","","","","","","","","","","11","","35L","4","Filter individuals in this eligibility group by pay class.","ACA Ben Elig Grp, Pay Class","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:20.820Z"
"ABEG.POS.RANKS","","","","L","N","35","Ranks","","N","","","","","","","","","","","10","","35L","8","Filter individuals in this eligibility group by position rank.","ACA Ben Elig Grp, Position Rank","ACA.BENEFIT.ELIG.GRP","N","$VR.POSITION.RANKS","","","","","2020-05-27T14:58:21.742Z"
"ABEG.POS.TYPES","","","","L","N","35","Position Types","","N","","","","","","","","","","","9","","35L","8","Filter individuals in this eligibility group by position type.","ACA Ben Elig Grp, Position Type","ACA.BENEFIT.ELIG.GRP","N","$VR.POSITION.TYPES","","","","","2020-05-27T14:58:23.570Z"
"ABEG.RULES","","","","L","N","40","Rules","","N","","","","","","","","","","","12","","40L","8","Filter individuals in this eligibility group by rule.","ACA Ben Elig Grp, Rule","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:21.055Z"
"ACA.ACK.FILES.ID","","","","K","N","70","","","N","","","","","","","","","","","0","","70L","70","Key to the ACA.ACK.FILES directory file","ACA.ACK.FILES ID","ACA.ACK.FILES","N","","","","","","2020-05-27T14:58:20.680Z"
"ACA.BENEFIT.DETAILS.ADDDATE","","","","D","N","8","","12/12/14","N","","","","","","","","","","","11","D2/","8R","0","Envision-maintained date this record was added to file.","Added On","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:23.164Z"
"ACA.BENEFIT.DETAILS.ADDOPR","","","","D","N","8","","SMITHRA","N","","","","","","","","","","","10","","8L","20","Envision-maintained login of who added this record.","Added By","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:22.164Z"
"ACA.BENEFIT.DETAILS.ADDTIME","","","","D","N","8","","12:31","N","","","","","","","","","","","14","MTH","8R","0","Envision-maintained time this record was added to file.","Time Added","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:22.539Z"
"ACA.BENEFIT.DETAILS.CHGDATE","","","","D","N","8","","12/31/14","N","","","","","","","","","","","12","D2/","8R","0","Envision-maintained date this record was last updated.","Changed On","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:22.227Z"
"ACA.BENEFIT.DETAILS.CHGOPR","","","","D","N","8","","SMITHRA","N","","","","","","","","","","","13","","8L","20","Envision-maintained login of who last changed this record.","Changed By","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:24.461Z"
"ACA.BENEFIT.DETAILS.CHGTIME","","","","D","N","8","","12:32","N","","","","","","","","","","","15","MTH","8R","0","Envision-maintained time this record was last changed.","Time Changed","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:21.602Z"
"ACA.BENEFIT.DETAILS.ID","","","","K","N","10","ACA Benefit Details ID","234","N","","","","","","","","","","","0","","10R","10","Sequential ID assigned to ACA.BENEFIT.DETAILS record","ACA Benefit Details ID","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:19.602Z"
"ACA.BENEFIT.ELIG.GRP.ADDDATE","","","","D","N","8","","","N","","","","","","","","","","","14","D2/","8R","0","Envision-maintained date this record was added to file.","Added On","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:21.758Z"
"ACA.BENEFIT.ELIG.GRP.ADDOPR","","","","D","N","8","","","N","","","","","","","","","","","16","","8L","20","Envision-maintained login of who added this record.","Added By","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:19.570Z"
"ACA.BENEFIT.ELIG.GRP.ADDTIME","","","","D","N","8","","","N","","","","","","","","","","","15","MTH","8R","0","Envision-maintained time this record was added to file.","Time Added","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:21.133Z"
"ACA.BENEFIT.ELIG.GRP.CHGDATE","","","","D","N","8","","","N","","","","","","","","","","","17","D2/","8R","0","Envision-maintained date this record was last updated.","Changed On","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:20.805Z"
"ACA.BENEFIT.ELIG.GRP.CHGOPR","","","","D","N","20","","","N","","","","","","","","","","","19","","20L","8","Envision-maintained login of who last changed this record.","Changed By","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:21.930Z"
"ACA.BENEFIT.ELIG.GRP.CHGTIME","","","","D","N","8","","","N","","","","","","","","","","","18","MTH","8R","0","Envision-maintained time this record was last changed.","Time Changed","ACA.BENEFIT.ELIG.GRP","N","","","","","","2020-05-27T14:58:20.211Z"
"ACA.BENEFIT.ELIG.GRP.ID","","","","K","N","20","Benefit Eligibility Group","FTBYSTATUS","N","","","","","","","","","","","0","","20L","20","Contains the ID of a group of individuals who are eligible for one or more , health , care benefits","Benefit Eligibility , Group ID","ACA.BENEFIT.ELIG.GRP","N","","2014-10-21","WWOLLNER","","","2020-05-27T14:58:24.945Z"
"ACA.CALC.DEFINITION.ADDDATE","","","","D","N","8","","","N","","","","","","","","","","","11","D2/","8R","0","Envision-maintained date this record was added to file.","Added On","ACA.CALC.DEFINITION","N","","","","","","2020-05-27T14:58:22.523Z"
"ACA.CALC.DEFINITION.ADDOPER","","","","D","N","8","","","N","","","","","","","","","","","10","","8L","20","This field was released with the wrong name.  No longer used.","Added By","ACA.CALC.DEFINITION","N","","","","","","2020-05-27T14:58:22.586Z"
"ACA.CALC.DEFINITION.ADDOPR","","","","D","N","8","","","N","","","","","","","","","","","16","","8L","20","Envision-maintained login of who added this record.","Added By","ACA.CALC.DEFINITION","N","","","","","","2020-05-27T14:58:21.492Z"
"ACA.CALC.DEFINITION.ADDTIME","","","","D","N","8","","","N","","","","","","","","","","","12","MTH","8R","0","Envision-maintained time this record was added to file.","Time Added","ACA.CALC.DEFINITION","N","","","","","","2020-05-27T14:58:21.898Z"
"ACA.CALC.DEFINITION.CHGDATE","","","","D","N","8","","","N","","","","","","","","","","","14","D2/","8R","0","Envision-maintained date this record was last updated.","Changed On","ACA.CALC.DEFINITION","N","","","","","","2020-05-27T14:58:21.586Z"
"ACA.CALC.DEFINITION.CHGOPR","","","","D","N","8","","","N","","","","","","","","","","","13","","8L","20","Envision-maintained login of who last changed this record.","Changed By","ACA.CALC.DEFINITION","N","","","","","","2020-05-27T14:58:23.820Z"
"ACA.CALC.DEFINITION.CHGTIME","","","","D","N","8","","","N","","","","","","","","","","","15","MTH","8R","0","Envision-maintained time this record was last changed.","Time Changed","ACA.CALC.DEFINITION","N","","","","","","2020-05-27T14:58:20.945Z"
"ACA.CALC.DEFINITION.ID","","","","K","N","20","Calculation Definition ID","FULL.TIME.1","N","","","","","","","","","","","0","","20L","20","A calculation definition is applied to a position in ACA reporting.","Calc Definition ID","ACA.CALC.DEFINITION","N","","2014-04-08","WWOLLNER","","","2020-05-27T14:58:21.555Z"
"ACA.EMP.CATEGORY.ADDDATE","","","","D","N","8","","","N","","","","","","","","","","","22","D2/","8R","0","Envision-maintained date this record was added to file.","Added On","ACA.EMP.CATEGORY","N","","","","","","2020-05-27T14:58:20.305Z"
"ACA.EMP.CATEGORY.ADDOPER","","","","D","N","20","","","N","","","","","","","","","","","23","","20L","8","This field was released with the wrong name.  No longer used.","Added By","ACA.EMP.CATEGORY","N","","","","","","2020-05-27T14:58:20.352Z"
"ACA.EMP.CATEGORY.ADDOPR","","","","D","N","8","","","N","","","","","","","","","","","28","","8L","20","Envision-maintained login of who added this record.","Added By","ACA.EMP.CATEGORY","N","","","","","","2020-05-27T14:58:23.664Z"
"ACA.EMP.CATEGORY.ADDTIME","","","","D","N","8","","","N","","","","","","","","","","","24","MTH","8R","0","Envision-maintained time this record was added to file.","Time Added","ACA.EMP.CATEGORY","N","","","","","","2020-05-27T14:58:19.648Z"
"ACA.EMP.CATEGORY.CHGDATE","","","","D","N","8","","","N","","","","","","","","","","","26","D2/","8R","0","Envision-maintained date this record was last updated.","Changed On","ACA.EMP.CATEGORY","N","","","","","","2020-05-27T14:58:19.367Z"
"ACA.EMP.CATEGORY.CHGOPR","","","","D","N","20","","","N","","","","","","","","","","","25","","20L","8","Envision-maintained login of who last changed this record.","Changed By","ACA.EMP.CATEGORY","N","","","","","","2020-05-27T14:58:19.961Z"
"ACA.EMP.CATEGORY.CHGTIME","","","","D","N","8","","","N","","","","","","","","","","","27","MTH","8R","0","Envision-maintained time this record was last changed.","Time Changed","ACA.EMP.CATEGORY","N","","","","","","2020-05-27T14:58:24.773Z"
"ACA.EMP.CATEGORY.ID","","","","K","N","20","Employee Category","PARTTIME","N","","","","","","","","","","","0","","20L","20","Contains the ID of the category for a set of employees","Employee , Category ID","ACA.EMP.CATEGORY","N","","2014-04-09","WWOLLNER","","","2020-05-27T14:58:23.789Z"
"ACA.MEASURE.HISTORY.ADDDATE","","","","D","N","10","Added On","12/31/2014","N","","","","","","","","","","","9","D4/","10R","8","Envision-maintained date this record was added to file.","Added On","ACA.MEASURE.HISTORY","N","","","","","","2020-05-27T14:58:20.914Z"
"ACA.MEASURE.HISTORY.ADDOPR","","","","D","N","20","Added By","SMITHR","N","","","","","","","","","","","10","","20L","20","Envision-maintained user that added this record file.","Added By","ACA.MEASURE.HISTORY","N","","","","","","2020-05-27T14:58:24.336Z"
"ACA.MEASURE.HISTORY.ADDTIME","","","","D","N","8","Time Added","12:31","N","","","","","","","","","","","11","MTH","8R","8","Envision-maintained time this record was added to file.","Time Added","ACA.MEASURE.HISTORY","N","","","","","","2020-05-27T14:58:20.305Z"
"ACA.MEASURE.HISTORY.CHGDATE","","","","D","N","10","Changed On","12/31/2014","N","","","","","","","","","","","12","D4/","10R","8","Envision-maintained date this record was last updated.","Changed On","ACA.MEASURE.HISTORY","N","","","","","","2020-05-27T14:58:19.992Z"
"ACA.MEASURE.HISTORY.CHGOPR","","","","D","N","20","Changed By","SMITHR","N","","","","","","","","","","","13","","20L","20","Envision-maintained login of who last changed this record.","Changed By","ACA.MEASURE.HISTORY","N","","","","","","2020-05-27T14:58:20.617Z"
"ACA.MEASURE.HISTORY.CHGTIME","","","","D","N","8","Time Changed","12:31","N","","","","","","","","","","","14","MTH","8R","8","Envision-maintained time this record was last changed.","Time Changed","ACA.MEASURE.HISTORY","N","","","","","","2020-05-27T14:58:19.367Z"
"ACA.MEASURE.HISTORY.ID","","","","K","N","10","ACA Measurement History ID","23","N","","","","","","","","","","","0","","10R","10","Stores the squential key for record","ACA Measurement, History ID","ACA.MEASURE.HISTORY","N","","","","","","2020-05-27T14:58:21.867Z"
"ACA.OFFER.INFO.ADDDATE","","","","D","N","10","","","N","","","","","","","","","","","9","D4/","10R","8","Envision-maintained date this record was added to file.","Added On","ACA.OFFER.INFO","N","","","","","","2020-05-27T14:58:25.367Z"
"ACA.OFFER.INFO.ADDOPR","","","","D","N","8","","","N","","","","","","","","","","","11","","8L","20","Envision-maintained login of who added this record.","Added By","ACA.OFFER.INFO","N","","","","","","2020-05-27T14:58:25.352Z"
"ACA.OFFER.INFO.ADDTIME","","","","D","N","8","","","N","","","","","","","","","","","10","MTH","8R","0","Envision-maintained time this record was added to file.","Time Added","ACA.OFFER.INFO","N","","","","","","2020-05-27T14:58:24.789Z"
"ACA.OFFER.INFO.CHGDATE","","","","D","N","10","","","N","","","","","","","","","","","12","D4/","10R","8","Envision-maintained date this record was last updated.","Changed On","ACA.OFFER.INFO","N","","","","","","2020-05-27T14:58:24.492Z"
"ACA.OFFER.INFO.CHGOPR","","","","D","N","8","","","N","","","","","","","","","","","14","","8L","20","Envision-maintained login of who last changed this record.","Changed By","ACA.OFFER.INFO","N","","","","","","2020-05-27T14:58:21.695Z"
"ACA.OFFER.INFO.CHGTIME","","","","D","N","8","","","N","","","","","","","","","","","13","MTH","8R","0","Envision-maintained time this record was last changed.","Time Changed","ACA.OFFER.INFO","N","","","","","","2020-05-27T14:58:23.883Z"
"ACA.OFFER.INFO.ID","","","","K","N","10","ACA Offer Info ID","123","N","","","","","","","","","","","0","","10R","10","Stores the sequential key for the record","ACA Offer, Info ID","ACA.OFFER.INFO","N","","","","","","2020-05-27T14:58:23.898Z"
"ACA.WORK.FILE.ADDDATE","","","","D","N","8","","","N","","","","","","","","","","","50","D2/","8R","0","Envision-maintained date this record was added to file.","Added On","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:23.336Z"
"ACA.WORK.FILE.ADDOPR","","","","D","N","8","","","N","","","","","","","","","","","49","","8L","20","Envision-maintained login of who added this record.","Added By","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:22.789Z"
"ACA.WORK.FILE.ADDTIME","","","","D","N","8","","","N","","","","","","","","","","","51","MTH","8R","0","Envision-maintained time this record was added to file.","Time Added","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:22.727Z"
"ACA.WORK.FILE.CHGDATE","","","","D","N","8","","","N","","","","","","","","","","","53","D2/","8R","0","Envision-maintained date this record was last updated.","Changed On","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:22.414Z"
"ACA.WORK.FILE.CHGOPR","","","","D","N","8","","","N","","","","","","","","","","","52","","8L","20","Envision-maintained login of who last changed this record.","Changed By","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:25.086Z"
"ACA.WORK.FILE.CHGTIME","","","","D","N","8","","","N","","","","","","","","","","","54","MTH","8R","0","Envision-maintained time this record was last changed.","Time Changed","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:21.789Z"
"ACA.WORK.FILE.ID","","","","K","N","10","","","N","","","","","","","","","","","0","","10L","10","Sequential key to records in this file.","ACA Work File ID","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:24.648Z"
"ACAWF.AS.OF.DATE","","","","D","N","10","","","N","","","","","","","","","","","7","D4/","10R","8","Effective date of the data extract.","As of Date","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:24.508Z"
"ACAWF.BATCH.ID","","","","D","N","20","","","N","","","","","","","","","","","1","","20L","20","ID stamped on all records created during a single execution of the ACME process.","Batch ID","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:21.742Z"
"ACAWF.BREAK.DAYS.EXCLUDED","","","","D","N","3","","","N","","","","","","","","","","","14","","3R","3","The total number of break days excluded from calculations for the period being , measured.","Break Days, Excluded","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:24.836Z"
"ACAWF.CALC.CEUS","","","","D","N","6","","","N","","","","","","","","","","","43","MD2","6R","5","The course section's CEUs, adjusted based on the percentage of the faculty , member's responsibility for the specified instructional method and prorated , based on the number of assignment days that fall within the measurement period.","Calc CEUs","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:22.133Z"
"ACAWF.CALC.CLOCK.HRS","","","","D","N","10","","","N","","","","","","","","","","","37","MD2,","10R","8","The course section's clock hours, adjusted based on the percentage of the , faculty member's responsibility for the specified instructional method and , prorated based on the number of assignment days that fall within the , measurement period.","Calc Clock, Hours","ACA.WORK.FILE","N","","2014-06-26","JCR","","","2020-05-27T14:58:19.711Z"
